Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
28,7.56003E+14,27,169,1,36,22,295,2,0,0,2,34,0,2,10,0,0,0,0,2,6,0,0,0,0,3,1,3,3,0,0,0,0,0,24,4,175,5,304,1,0,0,2,1,44,10,5,16,3,10,0,0,2,0,7,12,5,1765,9,99,12,5,0,0,4,1,1
28,2.80674E+13,25,129,0,30,13,161,2,0,0,7,140,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,14,6,258,3,182,0,0,0,1,1,47,30,3,16,0,0,0,2,3,0,6,8,1,1348,10,90,11,3,2,0,1,1,0
28,1.07003E+14,26,82,1,30,17,247,2,2,0,5,110,0,2,26,0,1,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,21,7,330,4,245,0,0,0,2,1,52,16,6,30,3,19,0,4,4,0,4,9,2,1518,11,123,12,4,1,0,3,2,0
28,6.57003E+14,33,81,0,50,23,266,1,3,0,3,77,0,2,7,0,0,0,0,1,17,0,0,0,0,1,1,1,0,0,0,0,0,0,9,8,328,3,184,0,0,0,3,1,30,24,5,10,1,5,0,0,4,0,7,13,3,2015,9,75,18,5,3,2,2,0,1
28,2.80529E+13,38,84,2,32,18,127,1,1,0,9,135,0,2,6,0,0,0,0,1,13,0,0,0,0,0,0,3,3,0,0,0,0,0,21,8,301,4,237,0,0,0,1,0,36,26,4,7,0,0,1,1,1,0,4,7,3,2185,9,82,18,7,1,0,3,3,0
28,2.8011E+13,33,118,0,22,15,197,2,1,0,4,92,0,1,14,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,13,4,170,3,183,0,0,0,6,5,44,20,7,15,0,0,0,0,6,0,10,5,2,1675,9,62,10,3,1,0,0,0,0
28,2.90028E+13,30,86,0,33,17,217,2,0,0,3,66,0,4,71,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,17,9,383,4,259,0,0,0,2,1,38,22,4,13,1,10,0,1,6,0,6,8,0,1873,10,83,16,3,2,2,3,1,1
29,1.29003E+14,46,246,1,30,19,202,0,1,0,2,64,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,1,1,0,0,0,0,0,19,3,123,6,352,0,0,0,1,1,36,12,3,17,2,12,0,1,2,0,15,9,0,2265,5,45,16,6,0,0,5,1,3
29,5.01003E+14,47,365,3,28,20,194,2,1,0,3,84,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,5,4,0,0,0,0,0,34,0,0,6,403,3,0,0,1,1,33,10,2,11,1,7,0,1,1,0,16,11,0,2152,5,35,13,8,4,3,5,3,0
29,2.90312E+13,25,148,0,26,10,105,1,1,0,6,146,0,1,4,0,0,0,0,1,38,1,0,0,0,1,1,2,2,0,0,0,0,0,17,6,229,3,188,0,0,1,1,0,38,54,6,35,3,32,0,0,4,0,3,4,1,1324,4,41,12,2,3,2,2,1,1
29,2.90528E+13,33,134,2,34,25,254,3,0,0,2,44,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,5,5,0,0,0,0,1,37,5,225,6,363,1,0,0,1,0,38,46,7,32,5,25,0,0,5,0,8,13,4,1879,6,48,11,5,1,0,5,5,0
29,2.90756E+13,30,77,2,53,39,384,1,2,0,6,140,0,2,-5,0,0,0,0,1,14,0,0,0,0,4,4,3,3,0,0,0,0,0,33,1,44,8,419,0,0,0,2,0,36,2,2,9,2,9,0,0,2,0,6,18,2,2359,8,81,16,8,2,0,8,3,4
29,6.74003E+14,14,138,2,52,40,415,3,0,0,4,102,0,0,0,0,0,0,0,1,79,1,0,0,0,1,1,5,4,1,0,0,0,0,43,3,124,8,530,0,0,0,2,2,47,26,3,8,1,6,0,0,1,0,4,17,2,1430,9,56,10,5,1,1,3,2,1
29,1.10003E+14,46,209,2,35,22,247,2,3,0,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,27,3,129,5,351,1,0,0,2,2,38,10,6,28,4,24,0,2,4,0,14,13,0,2138,2,11,16,9,1,1,4,2,0
29,7.54003E+14,54,294,3,24,15,177,1,0,0,2,131,1,3,115,1,0,0,0,0,0,0,0,0,0,2,2,6,6,0,0,0,0,0,48,0,0,9,620,6,0,0,0,0,30,10,7,28,5,26,0,2,3,0,18,7,2,2479,5,54,14,9,3,1,6,3,2
29,2.90107E+13,28,73,1,41,25,201,1,1,0,6,142,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,16,6,216,4,218,0,0,0,1,1,39,30,8,23,3,11,1,1,1,0,4,11,3,1693,8,65,13,3,2,0,3,2,1
29,5.29003E+14,35,127,1,47,30,314,4,1,0,6,121,0,4,44,0,0,0,0,1,3,0,0,0,0,3,2,5,5,0,0,0,0,0,41,6,247,5,321,0,0,0,2,1,55,6,9,23,0,0,0,2,5,0,7,11,4,2828,8,50,17,8,0,0,6,4,0
29,2.90028E+13,23,117,1,43,24,148,0,0,0,4,76,0,4,87,1,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,20,9,426,4,261,0,1,0,1,0,45,8,10,40,5,27,0,1,2,1,4,8,1,1727,3,13,16,2,2,1,3,0,2
