Date,Day,Winner,Pts,Loser,Pts
10/4/2013,Fri,San Diego State,51,Nevada,44
10/5/2013,Sat,Alabama,45,Georgia State,3
10/5/2013,Sat,Auburn,30, Mississippi,22
10/5/2013,Sat,Ball State,48,Virginia,27
10/5/2013,Sat,Baylor,73,West Virginia,42
10/5/2013,Sat,Boston College,48,Army,27
10/5/2013,Sat,Bowling Green State,28,Massachusetts,7
10/5/2013,Sat,Buffalo,42,Eastern Michigan,14
10/5/2013,Sat,Central Florida,24,Memphis,17
10/5/2013,Sat,Central Michigan,21,Miami (OH),9
10/5/2013,Sat,Clemson,49,Syracuse,14
10/5/2013,Sat,East Carolina,24,Middle Tennessee State,17
10/5/2013,Sat,Florida,30,Arkansas,10
10/5/2013,Sat,Florida Atlantic,37,Alabama-Birmingham,23
10/5/2013,Sat,Florida International,24,Southern Mississippi,23
10/5/2013,Sat,Florida State,63,Maryland,0
10/5/2013,Sat,Fresno State,61,Idaho,14
10/5/2013,Sat,Georgia,34,Tennessee,31
10/5/2013,Sat,Indiana,44,Penn State,24
10/5/2013,Sat,Louisiana,48,Texas State,24
10/5/2013,Sat,LSU,59,Mississippi State,26
10/5/2013,Sat,Louisiana Tech,38,Texas-El Paso,35
10/5/2013,Sat,Louisville,30,Temple,7
10/5/2013,Sat,Marshall,34,Texas-San Antonio,10
10/5/2013,Sat,Miami (Florida),45,Georgia Tech,30
10/5/2013,Sat,Michigan,42,Minnesota,13
10/5/2013,Sat,Michigan State,26,Iowa,14
10/5/2013,Sat,Missouri,51,Vanderbilt,28
10/5/2013,Sat,Navy,28,Air Force,10
10/5/2013,Sat,Nebraska,39,Illinois,19
10/5/2013,Sat,New Mexico,66,New Mexico State,17
10/5/2013,Sat,Northern Illinois,38,Kent State,24
10/5/2013,Sat,Notre Dame,37,Arizona State,34
10/5/2013,Sat,Ohio,43,Akron,3
10/5/2013,Sat,Ohio State,40,Northwestern,30
10/5/2013,Sat,Oklahoma,20,TCU,17
10/5/2013,Sat,Oklahoma State,33,Kansas State,29
10/5/2013,Sat,Oregon,57,Colorado,16
10/5/2013,Sat,Rice,30,Tulsa,27
10/5/2013,Sat,Rutgers,55,Southern Methodist,52
10/5/2013,Sat,San Jose State,37,Hawaii,27
10/5/2013,Sat,South Carolina,35,Kentucky,28
10/5/2013,Sat,South Florida,26,Cincinnati,20
10/5/2013,Sat,Stanford,31,Washington,28
10/5/2013,Sat,Texas Tech,54,Kansas,16
