Wk,Date,Day,Winner,Pts,Loser,Pts
14,12/3/2011,Sat,Louisiana-Monroe,26,Florida Atlantic,0
8,10/22/2011,Sat,Middle Tennessee State,38,Florida Atlantic,14
6,10/8/2011,Sat,North Texas,31,Florida Atlantic,17
12,11/19/2011,Sat,Troy,34,Florida Atlantic,7
7,10/15/2011,Sat,Western Kentucky,20,Florida Atlantic,0
8,10/18/2011,Tue,Arkansas State,34,Florida International,16
5,10/1/2011,Sat,Duke,31,Florida International,27
4,9/24/2011,Sat,Louisiana,36,Florida International,31
17,12/20/2011,Tue,Marshall,20,Florida International,10
17,12/20/2011,Tue,Marshall,20,Florida International,10
10,11/5/2011,Sat,Western Kentucky,10,Florida International,9
9,10/29/2011,Sat,Army,55,Fordham,0
1,9/3/2011,Sat,Connecticut,35,Fordham,3
2,9/10/2011,Sat, Nebraska,42,Fresno State,29
6,10/7/2011,Fri,Boise State,57,Fresno State,7
1,9/3/2011,Sat,California,36,Fresno State,21
10,11/5/2011,Sat,Louisiana Tech,41,Fresno State,21
5,10/1/2011,Sat,Mississippi,38,Fresno State,28
8,10/22/2011,Sat,Nevada,45,Fresno State,38
11,11/12/2011,Sat,New Mexico State,48,Fresno State,45
14,12/3/2011,Sat,San Diego State,35,Fresno State,28
13,11/26/2011,Sat,San Jose State,27,Fresno State,24
12,11/19/2011,Sat,Florida,54,Furman,32
2,9/10/2011,Sat,Ohio,30,Gardner-Webb,3
3,9/17/2011,Sat,Wake Forest,48,Gardner-Webb,5
2,9/10/2011,Sat, South Carolina,45,Georgia,42
12,11/19/2011,Sat, Alabama,45,Georgia Southern,21
4,9/24/2011,Sat,Houston,56,Georgia State,0
18,12/31/2011,Sat,Utah,30,Georgia Tech,27
2,9/10/2011,Sat,Louisiana-Monroe,35,Grambling State,7
14,12/3/2011,Sat,Brigham Young,41,Hawaii,20
12,11/19/2011,Sat,Fresno State,24,Hawaii,21
11,11/12/2011,Sat,Nevada,42,Hawaii,28
3,9/17/2011,Sat,Nevada-Las Vegas,40,Hawaii,20
7,10/14/2011,Fri,San Jose State,28,Hawaii,27
10,11/5/2011,Sat,Utah State,35,Hawaii,31
2,9/10/2011,Sat,Washington,40,Hawaii,32
1,9/4/2011,Sun,Eastern Michigan,41,Howard,9
3,9/17/2011,Sat, Texas A&M,37,Idaho,7
1,9/1/2011,Thu,Bowling Green State,32,Idaho,15
11,11/12/2011,Sat,Brigham Young,42,Idaho,7
4,9/24/2011,Sat,Fresno State,48,Idaho,24
9,10/29/2011,Sat,Hawaii,16,Idaho,14
6,10/8/2011,Sat,Louisiana Tech,24,Idaho,11
14,12/3/2011,Sat,Nevada,56,Idaho,3
7,10/15/2011,Sat,New Mexico State,31,Idaho,24
12,11/19/2011,Sat,Utah State,49,Idaho,42
5,10/1/2011,Sat,Virginia,21,Idaho,20
8,10/22/2011,Sat,Brigham Young,56,Idaho State,3
1,9/3/2011,Sat,Washington State,64,Idaho State,21
11,11/12/2011,Sat, Michigan,31,Illinois,14
9,10/29/2011,Sat, Penn State,10,Illinois,7
12,11/19/2011,Sat, Wisconsin,28,Illinois,17
13,11/26/2011,Sat,Minnesota,27,Illinois,7
12,11/19/2011,Sat, Michigan State,55,Indiana,3
7,10/15/2011,Sat, Wisconsin,59,Indiana,7
1,9/3/2011,Sat,Ball State,27,Indiana,20
1,9/3/2011,Sat,Ball State,27,Indiana,20
6,10/8/2011,Sat,Illinois,41,Indiana,20
8,10/22/2011,Sat,Iowa,45,Indiana,24
4,9/24/2011,Sat,North Texas,24,Indiana,21
9,10/29/2011,Sat,Northwestern,59,Indiana,38
10,11/5/2011,Sat,Ohio State,34,Indiana,20
5,10/1/2011,Sat,Penn State,16,Indiana,10
13,11/26/2011,Sat,Purdue,33,Indiana,25
2,9/10/2011,Sat,Virginia,34,Indiana,31
1,9/3/2011,Sat,Penn State,41,Indiana State,7
11,11/12/2011,Sat, Michigan State,37,Iowa,21
13,11/25/2011,Fri, Nebraska,20,Iowa,7
18,12/30/2011,Fri, Oklahoma,31,Iowa,14
18,12/30/2011,Fri, Oklahoma,31,Iowa,14
2,9/10/2011,Sat,Iowa State,44,Iowa,41
9,10/29/2011,Sat,Minnesota,22,Iowa,21
6,10/8/2011,Sat,Penn State,13,Iowa,3
6,10/8/2011,Sat, Baylor,49,Iowa State,26
14,12/3/2011,Sat, Kansas State,30,Iowa State,23
13,11/26/2011,Sat, Oklahoma,26,Iowa State,6
5,10/1/2011,Sat, Texas,37,Iowa State,14
8,10/22/2011,Sat, Texas A&M,33,Iowa State,17
7,10/15/2011,Sat,Missouri,52,Iowa State,17
18,12/30/2011,Fri,Rutgers,27,Iowa State,13
8,10/22/2011,Sat,Kentucky,38,Jacksonville State,14
1,9/3/2011,Sat,North Carolina,42,James Madison,10
8,10/22/2011,Sat, Kansas State,59,Kansas,21
7,10/15/2011,Sat, Oklahoma,47,Kansas,17
6,10/8/2011,Sat, Oklahoma State,70,Kansas,28
11,11/12/2011,Sat,Baylor,31,Kansas,30
3,9/17/2011,Sat,Georgia Tech,66,Kansas,24
10,11/5/2011,Sat,Iowa State,13,Kansas,10
13,11/26/2011,Sat,Missouri,24,Kansas,10
9,10/29/2011,Sat,Texas,43,Kansas,0
12,11/19/2011,Sat,Texas A&M,61,Kansas,7
5,10/1/2011,Sat,Texas Tech,45,Kansas,34
1,9/3/2011,Sat, Alabama,48,Kent State,7
3,9/17/2011,Sat,Kansas State,37,Kent State,0
2,9/10/2011,Sat,Louisiana,20,Kent State,12
7,10/15/2011,Sat,Miami (OH),9,Kent State,3
6,10/8/2011,Sat,Northern Illinois,40,Kent State,10
5,10/1/2011,Sat,Ohio,17,Kent State,10
13,11/25/2011,Fri,Temple,34,Kent State,16
4,9/24/2011,Sat, Florida,48,Kentucky,10
12,11/19/2011,Sat, Georgia,19,Kentucky,10
5,10/1/2011,Sat,LSU,35,Kentucky,7
3,9/17/2011,Sat,Louisville,24,Kentucky,17
9,10/29/2011,Sat,Mississippi State,28,Kentucky,16
6,10/8/2011,Sat,South Carolina,54,Kentucky,3
11,11/12/2011,Sat,Vanderbilt,38,Kentucky,8
1,9/3/2011,Sat,North Carolina State,43,Liberty,21
1,9/3/2011,Sat, Oklahoma State,61,Louisiana,34
13,11/26/2011,Sat,Arizona,45,Louisiana,37
11,11/12/2011,Sat,Arkansas State,30,Louisiana,21
8,10/22/2011,Sat,Western Kentucky,42,Louisiana,23
17,12/21/2011,Wed, Texas Christian,31,Louisiana Tech,24
17,12/21/2011,Wed, Texas Christian,31,Louisiana Tech,24
5,10/1/2011,Sat,Hawaii,44,Louisiana Tech,26
3,9/17/2011,Sat,Houston,35,Louisiana Tech,34
4,9/24/2011,Sat,Mississippi State,26,Louisiana Tech,20
1,9/3/2011,Sat,Southern Mississippi,19,Louisiana Tech,17
1,9/3/2011,Sat, Florida State,34,Louisiana-Monroe,0
3,9/17/2011,Sat, Texas Christian,38,Louisiana-Monroe,17
6,10/8/2011,Sat,Arkansas State,24,Louisiana-Monroe,19
12,11/19/2011,Sat,Florida International,28,Louisiana-Monroe,17
4,9/24/2011,Sat,Iowa,45,Louisiana-Monroe,17
10,11/5/2011,Sat,Louisiana,36,Louisiana-Monroe,35
8,10/22/2011,Sat,North Texas,38,Louisiana-Monroe,21
9,10/29/2011,Sat,Western Kentucky,31,Louisiana-Monroe,28
7,10/15/2011,Sat,Cincinnati,25,Louisville,16
2,9/9/2011,Fri,Florida International,24,Louisville,17
5,10/1/2011,Sat,Marshall,17,Louisville,13
6,10/8/2011,Sat,North Carolina,14,Louisville,7
18,12/27/2011,Tue,North Carolina State,31,Louisville,24
18,12/27/2011,Tue,North Carolina State,31,Louisville,24
11,11/12/2011,Sat,Pittsburgh,21,Louisville,14
2,9/10/2011,Sat,Pittsburgh,35,Maine,29
8,10/22/2011,Sat, Houston,63,Marshall,28
1,9/4/2011,Sun, West Virginia,34,Marshall,13
6,10/8/2011,Sat,Central Florida,16,Marshall,6
3,9/17/2011,Sat,Ohio,44,Marshall,7
11,11/12/2011,Sat,Tulsa,59,Marshall,17
4,9/24/2011,Sat,Virginia Tech,30,Marshall,10
7,10/15/2011,Sat, Clemson,56,Maryland,45
6,10/8/2011,Sat, Georgia Tech,21,Maryland,16
3,9/17/2011,Sat, West Virginia,37,Maryland,31
9,10/29/2011,Sat,Boston College,28,Maryland,17
8,10/22/2011,Sat,Florida State,41,Maryland,16
13,11/26/2011,Sat,North Carolina State,56,Maryland,41
11,11/12/2011,Sat,Notre Dame,45,Maryland,21
11,11/12/2011,Sat,Notre Dame,45,Maryland,21
4,9/24/2011,Sat,Temple,38,Maryland,7
10,11/5/2011,Sat,Virginia,31,Maryland,13
12,11/19/2011,Sat,Wake Forest,31,Maryland,10
4,9/24/2011,Sat,Boston College,45,Massachusetts,17
1,9/3/2011,Sat,Kansas,42,McNeese State,24
11,11/12/2011,Sat,Alabama-Birmingham,41,Memphis,35
2,9/10/2011,Sat,Arkansas State,47,Memphis,3
9,10/29/2011,Sat,Central Florida,41,Memphis,0
7,10/15/2011,Sat,East Carolina,35,Memphis,17
12,11/17/2011,Thu,Marshall,23,Memphis,22
5,10/1/2011,Sat,Middle Tennessee State,38,Memphis,31
1,9/1/2011,Thu,Mississippi State,59,Memphis,14
6,10/8/2011,Sat,Rice,28,Memphis,6
4,9/24/2011,Sat,Southern Methodist,42,Memphis,0
13,11/26/2011,Sat,Southern Mississippi,44,Memphis,7
6,10/8/2011,Sat, Virginia Tech,38,Miami (Florida),35
13,11/25/2011,Fri,Boston College,24,Miami (Florida),17
